suburb_name,NH_geometry,f0_
Stieglitz,"LINESTRING(148.308067375006 -41.31971566702, 148.299477369742 -41.3234688563571, 148.290886375014 -41.3272214069927)",POINT(148.299477369742 -41.3234688563571)
Tea Tree,"LINESTRING(147.333203045009 -42.6970173140526, 147.333203045011 -42.6938329841153, 147.333203045013 -42.6906486541779)",POINT(147.333203045011 -42.6938329841153)
Forest,"POLYGON((145.248417374984 -40.8586643200801, 145.23451462501 -40.8586643200779, 145.220611874997 -40.8586643200927, 145.220611874987 -40.8665634451424, 145.234514625012 -40.8665634451495, 145.248417374984 -40.8586643200801))",POINT(145.231425391092 -40.8621753021947)
East Devonport,"POLYGON((146.375284514997 -41.1893831428739, 146.375284514995 -41.1805328628471, 146.36863290499 -41.1805328628512, 146.368632904964 -41.1893831428411, 146.368632904976 -41.1938082829083, 146.375284514997 -41.1893831428739))",POINT(146.371737027615 -41.1861379442486)
Ocean Vista,"POLYGON((145.86352676492 -41.0414143898221, 145.863526765047 -41.0410510108313, 145.863526765121 -41.0406876360299, 145.862550989868 -41.0406876357052, 145.862550989897 -41.04141439118, 145.86352676492 -41.0414143898221))",POINT(145.863038877494 -41.0410510132823)
Frankford,"POLYGON((146.757112500015 -41.3164776300596, 146.757112499986 -41.3114748801905, 146.751257500059 -41.3114748801989, 146.751257500024 -41.3164776300553, 146.757112500015 -41.3164776300596))",POINT(146.754185000025 -41.3139762601632)
Zeehan,"LINESTRING(145.338009059988 -41.8951383542556, 145.338009059988 -41.8877748442209, 145.338009059985 -41.8804113292886)",POINT(145.338009059987 -41.8877748417721)
Hillwood,"POLYGON((146.988011500003 -41.2308771569903, 146.983902500051 -41.2308771569934, 146.979793499981 -41.2397790570338, 146.988011500003 -41.2308771569903))",POINT(146.983902686388 -41.2338445055765)
Sunnyside (Tas.),"POLYGON((146.475225994965 -41.3825922027038, 146.468957985072 -41.3687624724331, 146.431349904989 -41.3687624724301, 146.450153944971 -41.3825922026629, 146.475225994965 -41.3825922027038))",POINT(146.456003731243 -41.3752173053256)
Campbell Town,"LINESTRING(147.492186884987 -41.9294411946001, 147.49218688498 -41.932989487122, 147.492186884973 -41.936537779644)",POINT(147.49218688498 -41.932989487122)
Sisters Beach,"LINESTRING(145.558909375001 -40.9201752247162, 145.558909375009 -40.9188135346886, 145.558909375017 -40.917451844661)",POINT(145.558909375009 -40.9188135346886)
Derby (Tas.),POINT(147.801270685018 -41.1474897696302),POINT(147.801270685018 -41.1474897696302)
Bridport,"LINESTRING(147.399895999996 -41.0007614397634, 147.399895999993 -41.0080175597209, 147.39989599999 -41.0152736796784)",POINT(147.399895999993 -41.0080175597209)
Granville Harbour,"POLYGON((145.064354939595 -41.7780841617876, 145.064354950402 -41.7780726474682, 145.064354955448 -41.7780152493491, 145.064354944045 -41.7780037245483, 145.064339612436 -41.7780037228667, 145.064324307486 -41.778003730883, 145.064247667305 -41.7780496986434, 145.064247661046 -41.7780611880551, 145.064247667863 -41.7780726503567, 145.064308954844 -41.7780841790637, 145.064339628917 -41.778084169802, 145.064354939595 -41.7780841617876))",POINT(145.064310709534 -41.7780487116127)
Park Grove,"POLYGON((145.893317719967 -41.0554355859402, 145.8894165351 -41.0533120357139, 145.885515344988 -41.0511884856706, 145.881614155017 -41.051188485644, 145.881614154953 -41.0554355859146, 145.893317719967 -41.0554355859402))",POINT(145.885840445457 -41.0536660388175)
White Hills (Tas.),"POLYGON((147.252487725324 -41.5043854996299, 147.252487725149 -41.5035443003305, 147.249748875272 -41.5001794998119, 147.248835924943 -41.4993383001324, 147.247922975104 -41.4984970998962, 147.247010024648 -41.4984970998853, 147.246097075165 -41.4984970998016, 147.246097075016 -41.4993383000434, 147.251574774608 -41.504385499698, 147.252487725324 -41.5043854996299))",POINT(147.249310198889 -41.5011773875089)
Rowella,"POLYGON((146.915069190227 -41.1761852702425, 146.915069190186 -41.1734487805506, 146.912643435275 -41.1734487805081, 146.915069190227 -41.1761852702425))",POINT(146.914260593927 -41.1743609492141)
North Hobart,"POLYGON((147.318823500234 -42.8737743742813, 147.318823500213 -42.8718961243168, 147.318823500095 -42.8700178742604, 147.31689649976 -42.8700178743004, 147.314969500111 -42.8718961242354, 147.314969500138 -42.8737743742492, 147.316896499744 -42.8756526242756, 147.318823500234 -42.8737743742813))",POINT(147.317039250409 -42.8725917569136)
Pontville,"POLYGON((147.263907739985 -42.6843731247057, 147.253263214963 -42.6843731247011, 147.246166859978 -42.6843731247232, 147.246166859958 -42.6869682398081, 147.246166859963 -42.6895633495544, 147.263907739985 -42.6843731247057))",POINT(147.252080800926 -42.6861033940503)
Eaglehawk Neck,"POLYGON((147.934880770066 -43.0368325345429, 147.934880770053 -43.0060575346176, 147.925989884979 -42.993747534663, 147.908208104969 -43.0183675346027, 147.934880770066 -43.0368325345429))",POINT(147.924959021141 -43.0154240197524)
